Name:  | Date: 3/5/23 | Time: 18:03:47 | Oper: 0rgan1cElectronics!          
X/Z	Nm	Nw	Nc	Model	X-axis	Y-axis	Z-axis	Path	Temp (C)
2 	 29 	 911 	 2 	 4 	 0 	 0 	 0 	 1 	 25
1 	 1
1 	 0
 241	0.02242	0.01360	-0.01067	0.02091	0.03992	0.01253	0.01751	0.01732	0.02010	0.03187	0.00374	0.02168	0.01900	-0.00248	-0.01895	0.01485	0.00500	0.05195	0.07469	0.02053	0.09737	0.03620	0.06537	0.03830	0.04378	0.04503	0.05202	0.05519	0.09114 
 242	-0.00728	-0.00243	-0.00100	0.00875	0.01839	0.00910	-0.00356	0.00164	-0.01187	-0.00270	0.01146	0.00860	0.00194	0.00555	-0.01732	-0.00472	0.00024	0.02727	0.02315	0.05066	-0.03704	0.02194	0.01145	0.02757	0.04504	0.02992	0.03676	0.03588	0.04173 
 243	0.02840	-0.01783	-0.00633	-0.00108	-0.00628	-0.00547	0.00303	-0.03612	-0.03468	-0.02745	-0.00463	0.00480	0.01382	-0.02797	-0.00859	-0.00927	-0.00496	-0.03030	0.00396	0.01694	-0.00796	0.00057	0.02708	0.03732	0.00111	0.04489	-0.00964	0.02511	0.01338 
 244	0.01208	0.01064	-0.00724	0.04206	0.01473	0.00825	0.00345	0.04937	-0.01333	0.04785	-0.00371	0.01835	0.00076	0.00700	0.01950	0.03493	0.00136	0.08130	-0.01201	0.02372	0.05774	0.04559	0.03768	0.06564	0.02290	0.02442	0.02161	0.04449	0.02959 
 245	-0.03495	-0.03266	-0.02067	-0.01374	0.00046	-0.02429	-0.00070	-0.04506	-0.02920	-0.02071	0.00366	-0.03582	-0.02312	0.00921	-0.03181	-0.03614	-0.00547	-0.01834	0.00902	0.03273	-0.01730	0.01804	0.01766	0.04983	0.03871	-0.01659	-0.01230	0.01833	0.01087 
 246	-0.02545	-0.04810	-0.04315	-0.01676	-0.04421	-0.01520	0.00019	-0.04712	0.00568	-0.05593	-0.02553	-0.03261	-0.04011	-0.02475	-0.04076	-0.03948	-0.02720	-0.00895	-0.03007	-0.04620	0.05257	0.01846	0.04918	0.00547	-0.01979	-0.01338	0.01886	-0.01066	0.01745 
 247	0.00949	0.01322	0.01007	-0.00132	-0.02614	0.00544	0.00420	0.02127	-0.00615	0.05715	-0.01932	0.03874	-0.00831	0.03850	0.02758	0.00033	-0.01091	0.04259	0.04298	0.03356	0.03001	0.00827	0.03785	0.00223	0.04361	0.01018	0.04645	0.01785	0.02663 
 248	0.03083	-0.02153	-0.00950	0.00971	0.02528	0.01721	0.02840	0.00557	0.01475	-0.04245	-0.00429	0.00343	0.01364	-0.01184	0.01241	0.03881	0.05366	0.02851	-0.00143	0.04634	-0.01436	0.03387	0.02941	0.04274	0.00124	0.04956	0.01060	0.04262	0.01451 
 249	-0.02382	0.00582	-0.03090	-0.00992	0.00204	0.01135	-0.01502	-0.01860	-0.00321	-0.03249	0.02949	0.02937	-0.03686	0.02536	0.01833	-0.02902	0.00670	0.02975	0.02506	-0.01035	-0.03336	0.02003	0.00658	0.03220	-0.00456	0.07402	0.02854	0.05490	0.06008 
 250	-0.01868	-0.00503	0.00787	0.01822	0.01735	-0.00593	-0.01000	-0.01645	-0.03878	-0.04428	-0.01076	-0.01542	0.01591	-0.00199	0.00436	-0.03361	-0.01542	0.02099	0.01397	0.03797	-0.03103	0.03314	0.06176	0.02948	0.02012	0.04471	0.01195	-0.00474	0.02515 
